EmployeeID,FirstName,LastName,Gender,MaritalStatus,BirthDate,Position,StartDate,Salary,Currency,Email,PhoneNumber,Department,EmploymentType,EndDate,TerminationReason,Address,ContractType
1,Brenda,Anderson,Female,divorced,1969-03-06,Developer,2020-02-09,16879.79,PLN,kyle94@example.net,+1-257-494-2957x330,Finance,pół etatu,,,"49180 Reed Mountains Apt. 223
Port Brandonchester, FL 89522",Umowa o dzieło
2,Victoria,Watkins,Female,single,1999-04-29,Consultant,2023-01-23,10696.99,USD,fieldsroy@example.com,+1-626-249-2314x299,Sales,kontrakt,,,"3705 Smith Underpass Suite 023
Scottbury, CT 40007",Umowa B2B
3,Cindy,Kidd,Female,divorced,1997-07-20,Architect,2021-12-09,25986.72,EUR,jennifer59@example.net,527-810-5903x6042,IT,kontrakt,2022-02-06,Resignation,"18260 Mitchell Drive
Carrietown, NV 17436",Umowa o pracę
4,Jerry,Warner,Male,widowed,1963-03-01,Accountant,2022-08-11,4753.69,USD,greenryan@example.net,+1-585-976-1061,IT,pełny etat,,,"0865 Jill Fall Suite 279
Millershire, MS 69547",Umowa o pracę
5,Elizabeth,Reed,Female,married,1985-03-27,Operations Manager,2023-11-15,10160.59,PLN,lphillips@example.org,525.928.2851x15001,Operations,na godziny,,,"74516 Miguel Flat Apt. 078
Lewisshire, NY 21081",Umowa B2B
6,Brooke,Pearson,Female,single,1960-01-04,Sales Representative,2022-04-16,26708.5,GBP,fjohnson@example.com,674.791.9847,Logistics,kontrakt,2022-05-06,Layoff,"8857 Brennan Pine
Sparksfurt, TX 41570",Umowa zlecenie
7,Amy,Cooper,Female,divorced,1987-01-13,Project Manager,2023-03-20,25073.37,GBP,hrose@example.com,308.963.5251x215,Engineering,pół etatu,,,"PSC 4142, Box 9738
APO AA 50102",Umowa o pracę
8,Renee,Weaver,Female,single,2003-03-15,Accountant,2023-10-22,20290.91,PLN,kimberly55@example.org,455.544.5740x22698,IT,pół etatu,,,"0142 Ian Ports
North Stephaniestad, DE 47157",Umowa o dzieło
9,Dennis,Collins,Male,widowed,1977-07-08,Project Manager,2021-03-26,26797.55,PLN,chadjones@example.org,272.563.1827,Support,pełny etat,,,"3917 Alvarez Lake Apt. 077
Lake Scottchester, PR 43298",Umowa o dzieło
10,Kimberly,Owens,Female,divorced,1975-07-09,HR Specialist,2021-06-10,17432.58,PLN,gpark@example.org,2852143834,Logistics,pół etatu,2023-04-18,Retirement,"USNV Black
FPO AE 24622",Umowa o dzieło
11,Brooke,Johnson,Female,married,1977-08-07,Project Manager,2022-08-23,25210.59,USD,dustin23@example.com,979-368-5896,Finance,pół etatu,,,"658 Shelly Track
East Andrea, ND 75098",Umowa zlecenie
12,Timothy,Tanner,Male,single,1969-09-29,Developer,2022-03-14,27792.17,PLN,seanmarshall@example.com,224-942-4097x8566,Engineering,pół etatu,2023-07-20,Resignation,"146 Omar Inlet Suite 562
Garciamouth, NV 23842",Umowa B2B
13,Mckenzie,Gross,Female,married,1986-05-08,Technician,2021-03-26,26317.13,GBP,fishercindy@example.org,208-707-8024,Marketing,pełny etat,,,"23826 Margaret Route
Johnchester, AR 73539",Umowa o dzieło
14,Valerie,Benton,Female,widowed,1981-04-28,Developer,2021-03-12,11804.05,GBP,hkrueger@example.com,649.696.2371x2713,HR,kontrakt,,,"55676 James Run
Geraldbury, MD 16252",Umowa o pracę
15,Karen,Munoz,Female,single,1984-03-25,Product Owner,2024-05-12,17740.22,EUR,smithryan@example.com,305.537.4474x09384,HR,na godziny,2024-06-06,Retirement,"966 Sandoval Viaduct
New Maryport, MH 06282",Umowa B2B
16,Allen,Webster,Male,married,1969-03-12,Operations Manager,2022-08-11,22129.16,USD,jacobgonzalez@example.net,534-567-5811,HR,kontrakt,2023-08-03,Retirement,"5551 Bender Summit
West Brian, MA 45119",Umowa o dzieło
17,Sandra,Moran,Female,single,1977-03-09,Sales Representative,2024-03-03,13550.37,PLN,tammychen@example.net,(327)605-6597x7479,Logistics,kontrakt,2024-05-01,Resignation,"22558 Michael Point
East Jenniferberg, KY 68731",Umowa o pracę
18,Paul,Hicks,Male,divorced,1968-12-13,Architect,2022-06-20,3180.49,PLN,dustin85@example.com,7702336975,HR,pół etatu,,,"08386 Jones Fall Apt. 085
Phillipsville, FM 13061",Umowa o dzieło
